filename,dissonance_score,hp_interference,hp_harmonicity,hp_consonance,timbre,type,interval_or_chord,root
sine_interval_unison_C3.wav,0.0,0.0,0.0,0.475,sine,interval,unison,C3
sine_interval_minor_second_C3.wav,0.130059,0.962057,7e-06,-0.83705,sine,interval,minor_second,C3
sine_interval_major_second_C3.wav,0.176766,0.907166,0.5,-0.157166,sine,interval,major_second,C3
sine_interval_minor_third_C3.wav,0.1765,0.632346,0.5,0.217654,sine,interval,minor_third,C3
sine_interval_major_third_C3.wav,0.153323,0.386336,0.5,0.488664,sine,interval,major_third,C3
sine_interval_perfect_fourth_C3.wav,0.122106,0.218284,0.5,0.681716,sine,interval,perfect_fourth,C3
sine_interval_tritone_C3.wav,0.091209,0.116844,0.5,0.533156,sine,interval,tritone,C3
sine_interval_perfect_fifth_C3.wav,0.064655,0.060034,0.5,0.864966,sine,interval,perfect_fifth,C3
sine_interval_minor_sixth_C3.wav,0.043779,0.029844,0.5,0.745156,sine,interval,minor_sixth,C3
sine_interval_major_sixth_C3.wav,0.028423,0.014431,0.5,0.810569,sine,interval,major_sixth,C3
sine_interval_minor_seventh_C3.wav,0.017731,0.006813,0.5,0.718187,sine,interval,minor_seventh,C3
sine_interval_major_seventh_C3.wav,0.01064,0.003149,0.5,0.671851,sine,interval,major_seventh,C3
sine_interval_octave_C3.wav,0.006143,0.001428,0.5,0.948572,sine,interval,octave,C3
sine_interval_unison_E3.wav,0.0,0.0,0.0,0.475,sine,interval,unison,E3
sine_interval_minor_second_E3.wav,0.145502,0.97948,7e-06,-0.854472,sine,interval,minor_second,E3
sine_interval_major_second_E3.wav,0.180729,0.866208,0.5,-0.116208,sine,interval,major_second,E3
sine_interval_minor_third_E3.wav,0.164338,0.565603,0.5,0.284397,sine,interval,minor_third,E3
sine_interval_major_third_E3.wav,0.129542,0.323325,0.5,0.551675,sine,interval,major_third,E3
sine_interval_perfect_fourth_E3.wav,0.093276,0.170736,0.5,0.729264,sine,interval,perfect_fourth,E3
sine_interval_tritone_E3.wav,0.06276,0.085322,0.5,0.564678,sine,interval,tritone,E3
sine_interval_perfect_fifth_E3.wav,0.03992,0.040884,0.5,0.884116,sine,interval,perfect_fifth,E3
sine_interval_minor_sixth_E3.wav,0.024157,0.018935,0.5,0.756065,sine,interval,minor_sixth,E3
sine_interval_major_sixth_E3.wav,0.013956,0.008521,0.5,0.816479,sine,interval,major_sixth,E3
sine_interval_minor_seventh_E3.wav,0.007712,0.003741,0.5,0.721259,sine,interval,minor_seventh,E3
sine_interval_major_seventh_E3.wav,0.004079,0.001606,0.5,0.673394,sine,interval,major_seventh,E3
sine_interval_octave_E3.wav,0.002064,0.000676,0.5,0.949324,sine,interval,octave,E3
sine_interval_unison_G3.wav,0.0,0.0,0.0,0.475,sine,interval,unison,G3
sine_interval_minor_second_G3.wav,0.156053,0.98933,7e-06,-0.864323,sine,interval,minor_second,G3
sine_interval_major_second_G3.wav,0.179415,0.830892,0.5,-0.080892,sine,interval,major_second,G3
sine_interval_minor_third_G3.wav,0.150592,0.514745,0.5,0.335255,sine,interval,minor_third,G3
sine_interval_major_third_G3.wav,0.109272,0.278915,0.5,0.596085,sine,interval,major_third,G3
sine_interval_perfect_fourth_G3.wav,0.072223,0.139481,0.5,0.760519,sine,interval,perfect_fourth,G3
sine_interval_tritone_G3.wav,0.044478,0.065952,0.5,0.584048,sine,interval,tritone,G3
sine_interval_perfect_fifth_G3.wav,0.025815,0.029876,0.5,0.895124,sine,interval,perfect_fifth,G3
sine_interval_minor_sixth_G3.wav,0.014208,0.01307,0.5,0.76193,sine,interval,minor_sixth,G3
sine_interval_major_sixth_G3.wav,0.007439,0.005552,0.5,0.819448,sine,interval,major_sixth,G3
sine_interval_minor_seventh_G3.wav,0.003711,0.002298,0.5,0.722702,sine,interval,minor_seventh,G3
sine_interval_major_seventh_G3.wav,0.001764,0.00093,0.5,0.67407,sine,interval,major_seventh,G3
sine_interval_octave_G3.wav,0.000799,0.000369,0.5,0.949631,sine,interval,octave,G3
sine_interval_unison_C4.wav,0.0,0.0,0.0,0.475,sine,interval,unison,C4
sine_interval_minor_second_C4.wav,0.170298,0.998817,7e-06,-0.87381,sine,interval,minor_second,C4
sine_interval_major_second_C4.wav,0.168828,0.764113,0.5,-0.014113,sine,interval,major_second,C4
sine_interval_minor_third_C4.wav,0.121635,0.430446,0.5,0.419554,sine,interval,minor_third,C4
sine_interval_major_third_C4.wav,0.075413,0.211727,0.5,0.663273,sine,interval,major_third,C4
sine_interval_perfect_fourth_C4.wav,0.04239,0.095959,0.5,0.804041,sine,interval,perfect_fourth,C4
sine_interval_tritone_C4.wav,0.022091,0.041056,0.5,0.608944,sine,interval,tritone,C4
sine_interval_perfect_fifth_C4.wav,0.010791,0.016803,0.5,0.908197,sine,interval,perfect_fifth,C4
sine_interval_minor_sixth_C4.wav,0.004969,0.006631,0.5,0.768369,sine,interval,minor_sixth,C4
sine_interval_major_sixth_C4.wav,0.002162,0.002537,0.5,0.822463,sine,interval,major_sixth,C4
sine_interval_minor_seventh_C4.wav,0.000889,0.000945,0.5,0.724055,sine,interval,minor_seventh,C4
sine_interval_major_seventh_C4.wav,0.000345,0.000344,0.5,0.674656,sine,interval,major_seventh,C4
sine_interval_octave_C4.wav,0.000126,0.000122,0.5,0.949878,sine,interval,octave,C4
sine_interval_unison_E4.wav,0.0,0.0,0.0,0.475,sine,interval,unison,E4
sine_interval_minor_second_E4.wav,0.177623,0.999489,7e-06,-0.874481,sine,interval,minor_second,E4
sine_interval_major_second_E4.wav,0.153737,0.704598,0.5,0.045402,sine,interval,major_second,E4
sine_interval_minor_third_E4.wav,0.096377,0.365201,0.5,0.484799,sine,interval,minor_third,E4
sine_interval_major_third_E4.wav,0.051816,0.165036,0.5,0.709964,sine,interval,major_third,E4
sine_interval_perfect_fourth_E4.wav,0.025165,0.06862,0.5,0.83138,sine,interval,perfect_fourth,E4
sine_interval_tritone_E4.wav,0.011284,0.026897,0.5,0.623103,sine,interval,tritone,E4
sine_interval_perfect_fifth_E4.wav,0.00472,0.010071,0.5,0.914929,sine,interval,perfect_fifth,E4
sine_interval_minor_sixth_E4.wav,0.001851,0.003632,0.5,0.771368,sine,interval,minor_sixth,E4
sine_interval_major_sixth_E4.wav,0.000681,0.001268,0.5,0.823732,sine,interval,major_sixth,E4
sine_interval_minor_seventh_E4.wav,0.000235,0.00043,0.5,0.72457,sine,interval,minor_seventh,E4
sine_interval_major_seventh_E4.wav,7.6e-05,0.000142,0.5,0.674858,sine,interval,major_seventh,E4
sine_interval_octave_E4.wav,2.3e-05,4.6e-05,0.5,0.949954,sine,interval,octave,E4
sine_interval_unison_G4.wav,0.0,0.0,0.0,0.475,sine,interval,unison,G4
sine_interval_minor_second_G4.wav,0.180333,0.9956,7e-06,-0.870593,sine,interval,minor_second,G4
sine_interval_major_second_G4.wav,0.139664,0.657155,0.5,0.092845,sine,interval,major_second,G4
sine_interval_minor_third_G4.wav,0.078171,0.318527,0.5,0.531473,sine,interval,minor_third,G4
sine_interval_major_third_G4.wav,0.037437,0.13445,0.5,0.74055,sine,interval,major_third,G4
sine_interval_perfect_fourth_G4.wav,0.016152,0.052155,0.5,0.847845,sine,interval,perfect_fourth,G4
sine_interval_tritone_G4.wav,0.006414,0.019051,0.5,0.630949,sine,interval,tritone,G4
sine_interval_perfect_fifth_G4.wav,0.002367,0.006641,0.5,0.918359,sine,interval,perfect_fifth,G4
sine_interval_minor_sixth_G4.wav,0.000814,0.002227,0.5,0.772773,sine,interval,minor_sixth,G4
sine_interval_major_sixth_G4.wav,0.000262,0.000722,0.5,0.824278,sine,interval,major_sixth,G4
sine_interval_minor_seventh_G4.wav,7.8e-05,0.000228,0.5,0.724772,sine,interval,minor_seventh,G4
sine_interval_major_seventh_G4.wav,2.2e-05,7e-05,0.5,0.67493,sine,interval,major_seventh,G4
sine_interval_octave_G4.wav,6e-06,2.1e-05,0.5,0.949979,sine,interval,octave,G4
sawtooth_interval_unison_C3.wav,0.033898,0.013015,0.456323,0.918308,sawtooth,interval,unison,C3
sawtooth_interval_minor_second_C3.wav,0.250471,0.114686,0.456323,0.466638,sawtooth,interval,minor_second,C3
sawtooth_interval_major_second_C3.wav,0.291956,0.100068,0.513618,0.66355,sawtooth,interval,major_second,C3
sawtooth_interval_minor_third_C3.wav,0.276222,0.075126,0.508407,0.783281,sawtooth,interval,minor_third,C3
sawtooth_interval_major_third_C3.wav,0.245932,0.061694,0.513514,0.826821,sawtooth,interval,major_third,C3
sawtooth_interval_perfect_fourth_C3.wav,0.207051,0.049038,0.526353,0.877316,sawtooth,interval,perfect_fourth,C3
sawtooth_interval_tritone_C3.wav,0.196001,0.059026,0.728162,0.819136,sawtooth,interval,tritone,C3
sawtooth_interval_perfect_fifth_C3.wav,0.13796,0.030089,0.561057,0.955967,sawtooth,interval,perfect_fifth,C3
sawtooth_interval_minor_sixth_C3.wav,0.165949,0.055872,0.527488,0.746616,sawtooth,interval,minor_sixth,C3
sawtooth_interval_major_sixth_C3.wav,0.15402,0.047135,0.517061,0.794926,sawtooth,interval,major_sixth,C3
sawtooth_interval_minor_seventh_C3.wav,0.162771,0.059201,0.500003,0.665802,sawtooth,interval,minor_seventh,C3
sawtooth_interval_major_seventh_C3.wav,0.15151,0.066048,0.500003,0.608956,sawtooth,interval,major_seventh,C3
sawtooth_interval_octave_C3.wav,0.026374,0.009078,0.714222,1.155144,sawtooth,interval,octave,C3
sawtooth_interval_unison_E3.wav,0.015595,0.009248,0.456323,0.922075,sawtooth,interval,unison,E3
sawtooth_interval_minor_second_E3.wav,0.249176,0.110649,0.456323,0.470675,sawtooth,interval,minor_second,E3
sawtooth_interval_major_second_E3.wav,0.26926,0.090331,0.513618,0.673287,sawtooth,interval,major_second,E3
sawtooth_interval_minor_third_E3.wav,0.235724,0.065466,0.508407,0.792941,sawtooth,interval,minor_third,E3
sawtooth_interval_major_third_E3.wav,0.19553,0.053481,0.513514,0.835033,sawtooth,interval,major_third,E3
sawtooth_interval_perfect_fourth_E3.wav,0.152096,0.041148,0.526353,0.885205,sawtooth,interval,perfect_fourth,E3
sawtooth_interval_tritone_E3.wav,0.144211,0.052591,0.728162,0.825572,sawtooth,interval,tritone,E3
sawtooth_interval_perfect_fifth_E3.wav,0.088763,0.024235,0.561057,0.961822,sawtooth,interval,perfect_fifth,E3
sawtooth_interval_minor_sixth_E3.wav,0.122045,0.0502,0.527488,0.752288,sawtooth,interval,minor_sixth,E3
sawtooth_interval_major_sixth_E3.wav,0.11363,0.040398,0.517061,0.801663,sawtooth,interval,major_sixth,E3
sawtooth_interval_minor_seventh_E3.wav,0.131475,0.052283,0.500003,0.67272,sawtooth,interval,minor_seventh,E3
sawtooth_interval_major_seventh_E3.wav,0.137268,0.062324,0.500003,0.61268,sawtooth,interval,major_seventh,E3
sawtooth_interval_octave_E3.wav,0.012185,0.006364,0.714222,1.157858,sawtooth,interval,octave,E3
sawtooth_interval_unison_G3.wav,0.008624,0.007031,0.456323,0.924293,sawtooth,interval,unison,G3
sawtooth_interval_minor_second_G3.wav,0.252263,0.107768,0.456323,0.473556,sawtooth,interval,minor_second,G3
sawtooth_interval_major_second_G3.wav,0.253273,0.083244,0.513618,0.680374,sawtooth,interval,major_second,G3
sawtooth_interval_minor_third_G3.wav,0.206946,0.058815,0.508407,0.799591,sawtooth,interval,minor_third,G3
sawtooth_interval_major_third_G3.wav,0.16177,0.048064,0.513514,0.840451,sawtooth,interval,major_third,G3
sawtooth_interval_perfect_fourth_G3.wav,0.117691,0.035961,0.526353,0.890393,sawtooth,interval,perfect_fourth,G3
sawtooth_interval_tritone_G3.wav,0.113882,0.04837,0.728162,0.829792,sawtooth,interval,tritone,G3
sawtooth_interval_perfect_fifth_G3.wav,0.061795,0.020569,0.561057,0.965488,sawtooth,interval,perfect_fifth,G3
sawtooth_interval_minor_sixth_G3.wav,0.097734,0.046469,0.527488,0.756019,sawtooth,interval,minor_sixth,G3
sawtooth_interval_major_sixth_G3.wav,0.090518,0.035898,0.517061,0.806163,sawtooth,interval,major_sixth,G3
sawtooth_interval_minor_seventh_G3.wav,0.113082,0.047409,0.500003,0.677594,sawtooth,interval,minor_seventh,G3
sawtooth_interval_major_seventh_G3.wav,0.130893,0.059741,0.500003,0.615263,sawtooth,interval,major_seventh,G3
sawtooth_interval_octave_G3.wav,0.00678,0.00479,0.714222,1.159432,sawtooth,interval,octave,G3
sawtooth_interval_unison_C4.wav,0.003389,0.004289,0.456323,0.927035,sawtooth,interval,unison,C4
sawtooth_interval_minor_second_C4.wav,0.258074,0.103027,0.456323,0.478296,sawtooth,interval,minor_second,C4
sawtooth_interval_major_second_C4.wav,0.224195,0.071845,0.513618,0.691773,sawtooth,interval,major_second,C4
sawtooth_interval_minor_third_C4.wav,0.160816,0.048854,0.508407,0.809553,sawtooth,interval,minor_third,C4
sawtooth_interval_major_third_C4.wav,0.113589,0.04034,0.513514,0.848174,sawtooth,interval,major_third,C4
sawtooth_interval_perfect_fourth_C4.wav,0.073466,0.028567,0.526353,0.897786,sawtooth,interval,perfect_fourth,C4
sawtooth_interval_tritone_C4.wav,0.078139,0.04228,0.728162,0.835882,sawtooth,interval,tritone,C4
sawtooth_interval_perfect_fifth_C4.wav,0.032901,0.015653,0.561057,0.970404,sawtooth,interval,perfect_fifth,C4
sawtooth_interval_minor_sixth_C4.wav,0.070264,0.041061,0.527488,0.761427,sawtooth,interval,minor_sixth,C4
sawtooth_interval_major_sixth_C4.wav,0.062354,0.029385,0.517061,0.812676,sawtooth,interval,major_sixth,C4
sawtooth_interval_minor_seventh_C4.wav,0.088247,0.039842,0.500003,0.685161,sawtooth,interval,minor_seventh,C4
sawtooth_interval_major_seventh_C4.wav,0.123147,0.055671,0.500003,0.619333,sawtooth,interval,major_seventh,C4
sawtooth_interval_octave_C4.wav,0.002705,0.002875,0.714222,1.161346,sawtooth,interval,octave,C4
sawtooth_interval_unison_E4.wav,0.001758,0.002784,0.456323,0.92854,sawtooth,interval,unison,E4
sawtooth_interval_minor_second_E4.wav,0.259734,0.099122,0.456323,0.482201,sawtooth,interval,minor_second,E4
sawtooth_interval_major_second_E4.wav,0.19779,0.06313,0.513618,0.700488,sawtooth,interval,major_second,E4
sawtooth_interval_minor_third_E4.wav,0.126601,0.041881,0.508407,0.816526,sawtooth,interval,minor_third,E4
sawtooth_interval_major_third_E4.wav,0.083187,0.035224,0.513514,0.853291,sawtooth,interval,major_third,E4
sawtooth_interval_perfect_fourth_E4.wav,0.049174,0.023653,0.526353,0.9027,sawtooth,interval,perfect_fourth,E4
sawtooth_interval_tritone_E4.wav,0.060308,0.038078,0.728162,0.840084,sawtooth,interval,tritone,E4
sawtooth_interval_perfect_fifth_E4.wav,0.020459,0.012632,0.561057,0.973425,sawtooth,interval,perfect_fifth,E4
sawtooth_interval_minor_sixth_E4.wav,0.056673,0.037307,0.527488,0.765181,sawtooth,interval,minor_sixth,E4
sawtooth_interval_major_sixth_E4.wav,0.046741,0.025013,0.517061,0.817048,sawtooth,interval,major_sixth,E4
sawtooth_interval_minor_seventh_E4.wav,0.071844,0.034271,0.500003,0.690732,sawtooth,interval,minor_seventh,E4
sawtooth_interval_major_seventh_E4.wav,0.117081,0.052504,0.500003,0.622499,sawtooth,interval,major_seventh,E4
sawtooth_interval_octave_E4.wav,0.001424,0.001843,0.714222,1.162378,sawtooth,interval,octave,E4
sawtooth_interval_unison_G4.wav,0.00114,0.001966,0.456323,0.929357,sawtooth,interval,unison,G4
sawtooth_interval_minor_second_G4.wav,0.258282,0.096046,0.456323,0.485277,sawtooth,interval,minor_second,G4
sawtooth_interval_major_second_G4.wav,0.176756,0.056859,0.513618,0.706759,sawtooth,interval,major_second,G4
sawtooth_interval_minor_third_G4.wav,0.103584,0.037218,0.508407,0.821189,sawtooth,interval,minor_third,G4
sawtooth_interval_major_third_G4.wav,0.06536,0.031935,0.513514,0.85658,sawtooth,interval,major_third,G4
sawtooth_interval_perfect_fourth_G4.wav,0.036433,0.02048,0.526353,0.905874,sawtooth,interval,perfect_fourth,G4
sawtooth_interval_tritone_G4.wav,0.051394,0.035222,0.728162,0.84294,sawtooth,interval,tritone,G4
sawtooth_interval_perfect_fifth_G4.wav,0.015117,0.01081,0.561057,0.975247,sawtooth,interval,perfect_fifth,G4
sawtooth_interval_minor_sixth_G4.wav,0.049654,0.034743,0.527488,0.767745,sawtooth,interval,minor_sixth,G4
sawtooth_interval_major_sixth_G4.wav,0.038035,0.022193,0.517061,0.819868,sawtooth,interval,major_sixth,G4
sawtooth_interval_minor_seventh_G4.wav,0.061197,0.030375,0.500003,0.694629,sawtooth,interval,minor_seventh,G4
sawtooth_interval_major_seventh_G4.wav,0.112117,0.050125,0.500003,0.624878,sawtooth,interval,major_seventh,G4
sawtooth_interval_octave_G4.wav,0.000934,0.001291,0.714222,1.162931,sawtooth,interval,octave,G4
piano_interval_unison_C3.wav,0.015045,0.009804,0.345161,0.810357,piano,interval,unison,C3
piano_interval_minor_second_C3.wav,0.177861,0.126075,0.345161,0.344086,piano,interval,minor_second,C3
piano_interval_major_second_C3.wav,0.223435,0.111449,0.503815,0.642366,piano,interval,major_second,C3
piano_interval_minor_third_C3.wav,0.217576,0.081831,0.501942,0.770111,piano,interval,minor_third,C3
piano_interval_major_third_C3.wav,0.191915,0.062762,0.50379,0.816028,piano,interval,major_third,C3
piano_interval_perfect_fourth_C3.wav,0.159628,0.047563,0.509864,0.8623,piano,interval,perfect_fourth,C3
piano_interval_tritone_C3.wav,0.137287,0.054177,0.672581,0.768403,piano,interval,tritone,C3
piano_interval_perfect_fifth_C3.wav,0.10291,0.028,0.530091,0.927092,piano,interval,perfect_fifth,C3
piano_interval_minor_sixth_C3.wav,0.105066,0.051794,0.510791,0.733997,piano,interval,minor_sixth,C3
piano_interval_major_sixth_C3.wav,0.098383,0.047139,0.50545,0.783312,piano,interval,major_sixth,C3
piano_interval_minor_seventh_C3.wav,0.099697,0.060672,0.500002,0.66433,piano,interval,minor_seventh,C3
piano_interval_major_seventh_C3.wav,0.089904,0.06914,0.500003,0.605863,piano,interval,major_seventh,C3
piano_interval_octave_C3.wav,0.01465,0.007462,0.667332,1.10987,piano,interval,octave,C3
piano_interval_unison_E3.wav,0.006133,0.006884,0.345161,0.813277,piano,interval,unison,E3
piano_interval_minor_second_E3.wav,0.185567,0.123536,0.345161,0.346624,piano,interval,minor_second,E3
piano_interval_major_second_E3.wav,0.215538,0.102109,0.503815,0.651706,piano,interval,major_second,E3
piano_interval_minor_third_E3.wav,0.192025,0.071477,0.501942,0.780465,piano,interval,minor_third,E3
piano_interval_major_third_E3.wav,0.154805,0.053721,0.50379,0.825068,piano,interval,major_third,E3
piano_interval_perfect_fourth_E3.wav,0.117498,0.039405,0.509864,0.870459,piano,interval,perfect_fourth,E3
piano_interval_tritone_E3.wav,0.096244,0.047749,0.672581,0.774832,piano,interval,tritone,E3
piano_interval_perfect_fifth_E3.wav,0.064605,0.022213,0.530091,0.932879,piano,interval,perfect_fifth,E3
piano_interval_minor_sixth_E3.wav,0.071515,0.04611,0.510791,0.739681,piano,interval,minor_sixth,E3
piano_interval_major_sixth_E3.wav,0.06966,0.040371,0.50545,0.79008,piano,interval,major_sixth,E3
piano_interval_minor_seventh_E3.wav,0.079241,0.053988,0.500002,0.671014,piano,interval,minor_seventh,E3
piano_interval_major_seventh_E3.wav,0.081293,0.06604,0.500003,0.608962,piano,interval,major_seventh,E3
piano_interval_octave_E3.wav,0.005988,0.005179,0.667332,1.112153,piano,interval,octave,E3
piano_interval_unison_G3.wav,0.003017,0.005189,0.345161,0.814972,piano,interval,unison,G3
piano_interval_minor_second_G3.wav,0.19314,0.121643,0.345161,0.348518,piano,interval,minor_second,G3
piano_interval_major_second_G3.wav,0.208174,0.095142,0.503815,0.658673,piano,interval,major_second,G3
piano_interval_minor_third_G3.wav,0.17154,0.064203,0.501942,0.787739,piano,interval,minor_third,G3
piano_interval_major_third_G3.wav,0.128063,0.047686,0.50379,0.831104,piano,interval,major_third,G3
piano_interval_perfect_fourth_G3.wav,0.089927,0.034068,0.509864,0.875795,piano,interval,perfect_fourth,G3
piano_interval_tritone_G3.wav,0.071655,0.043601,0.672581,0.77898,piano,interval,tritone,G3
piano_interval_perfect_fifth_G3.wav,0.043327,0.018633,0.530091,0.936459,piano,interval,perfect_fifth,G3
piano_interval_minor_sixth_G3.wav,0.053208,0.042399,0.510791,0.743392,piano,interval,minor_sixth,G3
piano_interval_major_sixth_G3.wav,0.053678,0.035809,0.50545,0.794642,piano,interval,major_sixth,G3
piano_interval_minor_seventh_G3.wav,0.06776,0.04922,0.500002,0.675782,piano,interval,minor_seventh,G3
piano_interval_major_seventh_G3.wav,0.077991,0.063851,0.500003,0.611152,piano,interval,major_seventh,G3
piano_interval_octave_G3.wav,0.002958,0.003871,0.667332,1.113461,piano,interval,octave,G3
piano_interval_unison_C4.wav,0.000958,0.003124,0.345161,0.817036,piano,interval,unison,C4
piano_interval_minor_second_C4.wav,0.204482,0.118279,0.345161,0.351882,piano,interval,minor_second,C4
piano_interval_major_second_C4.wav,0.190318,0.083617,0.503815,0.670198,piano,interval,major_second,C4
piano_interval_minor_third_C4.wav,0.135228,0.053063,0.501942,0.798879,piano,interval,minor_third,C4
piano_interval_major_third_C4.wav,0.087684,0.038986,0.50379,0.839804,piano,interval,major_third,C4
piano_interval_perfect_fourth_C4.wav,0.053487,0.026532,0.509864,0.883332,piano,interval,perfect_fourth,C4
piano_interval_tritone_C4.wav,0.042692,0.037744,0.672581,0.784836,piano,interval,tritone,C4
piano_interval_perfect_fifth_C4.wav,0.020617,0.013908,0.530091,0.941183,piano,interval,perfect_fifth,C4
piano_interval_minor_sixth_C4.wav,0.033379,0.037079,0.510791,0.748712,piano,interval,minor_sixth,C4
piano_interval_major_sixth_C4.wav,0.034926,0.02913,0.50545,0.80132,piano,interval,major_sixth,C4
piano_interval_minor_seventh_C4.wav,0.052763,0.041707,0.500002,0.683295,piano,interval,minor_seventh,C4
piano_interval_major_seventh_C4.wav,0.074442,0.060293,0.500003,0.61471,piano,interval,major_seventh,C4
piano_interval_octave_C4.wav,0.000951,0.002298,0.667332,1.115034,piano,interval,octave,C4
piano_interval_unison_E4.wav,0.000432,0.002009,0.345161,0.818152,piano,interval,unison,E4
piano_interval_minor_second_E4.wav,0.209912,0.115228,0.345161,0.354933,piano,interval,minor_second,E4
piano_interval_major_second_E4.wav,0.170827,0.074527,0.503815,0.679288,piano,interval,major_second,E4
piano_interval_minor_third_E4.wav,0.106268,0.045076,0.501942,0.806866,piano,interval,minor_third,E4
piano_interval_major_third_E4.wav,0.061185,0.033175,0.50379,0.845615,piano,interval,major_third,E4
piano_interval_perfect_fourth_E4.wav,0.033281,0.021594,0.509864,0.888269,piano,interval,perfect_fourth,E4
piano_interval_tritone_E4.wav,0.028769,0.033811,0.672581,0.78877,piano,interval,tritone,E4
piano_interval_perfect_fifth_E4.wav,0.011109,0.011065,0.530091,0.944026,piano,interval,perfect_fifth,E4
piano_interval_minor_sixth_E4.wav,0.024333,0.033444,0.510791,0.752347,piano,interval,minor_sixth,E4
piano_interval_major_sixth_E4.wav,0.024922,0.024581,0.50545,0.80587,piano,interval,major_sixth,E4
piano_interval_minor_seventh_E4.wav,0.042927,0.036082,0.500002,0.68892,piano,interval,minor_seventh,E4
piano_interval_major_seventh_E4.wav,0.071484,0.057409,0.500003,0.617593,piano,interval,major_seventh,E4
piano_interval_octave_E4.wav,0.000435,0.001462,0.667332,1.11587,piano,interval,octave,E4
piano_interval_unison_G4.wav,0.000261,0.001409,0.345161,0.818752,piano,interval,unison,G4
piano_interval_minor_second_G4.wav,0.21116,0.11265,0.345161,0.357511,piano,interval,minor_second,G4
piano_interval_major_second_G4.wav,0.154019,0.067833,0.503815,0.685982,piano,interval,major_second,G4
piano_interval_minor_third_G4.wav,0.086107,0.039644,0.501942,0.812298,piano,interval,minor_third,G4
piano_interval_major_third_G4.wav,0.045409,0.029434,0.50379,0.849356,piano,interval,major_third,G4
piano_interval_perfect_fourth_G4.wav,0.022793,0.018451,0.509864,0.891413,piano,interval,perfect_fourth,G4
piano_interval_tritone_G4.wav,0.022255,0.031193,0.672581,0.791388,piano,interval,tritone,G4
piano_interval_perfect_fifth_G4.wav,0.007207,0.009383,0.530091,0.945709,piano,interval,perfect_fifth,G4
